Antenna, X_ecef_m, Y_ecef_m, Z_ecef_m
1A, -2524135.705898576, -4123447.8660837733, 4147709.021116979
1B, -2524112.178080583, -4123474.9384315712, 4147696.162193383
1C, -2524141.219461439, -4123507.7286108406, 4147649.0368876057
1D, -2524159.4709161236, -4123492.2123993724, 4147650.8550949944
1E, -2524167.8703287886, -4123478.495566066, 4147658.827277123
1F, -2524193.3972254535, -4123463.8895271863, 4147658.297320994
1G, -2524186.885909053, -4123452.1584926886, 4147673.600989793
1H, -2524203.0583488033, -4123430.8743299064, 4147685.0269737383
1J, -2524196.6557048797, -4123400.5478462903, 4147718.9569900213
1K, -2524156.405082269, -4123435.0518883285, 4147709.0978846513
2A, -2524085.9588579736, -4123417.1911812834, 4147769.3453217596
2B, -2524069.977318581, -4123435.0051688477, 4147761.40226806
2C, -2524083.222404743, -4123447.905553107, 4147740.484996426
2D, -2524056.927438929, -4123480.4156271527, 4147724.340137016
2E, -2524041.2007281855, -4123487.892814035, 4147726.4426206476
2F, -2524158.779525669, -4123405.3791677905, 4147736.8109577196
2G, -2524184.2537101083, -4123391.3234865176, 4147735.418455281
2H, -2524173.7710666494, -4123388.280264958, 4147744.6548990477
2J, -2524158.3184551415, -4123386.271511412, 4147756.064439704
2K, -2524148.1997584617, -4123388.108956307, 4147760.44834541
2L, -2524126.6653302275, -4123400.7037192388, 4147760.8482226683
2M, -2524100.2377589555, -4123418.064067842, 4147759.4288023612
3C, -2524012.9443677734, -4123436.8305821517, 4147793.7948503704
3D, -2524044.7629643255, -4123400.1305428892, 4147810.7403306384
3E, -2524071.1124404753, -4123392.3855513195, 4147802.378773442
3F, -2524088.8376722923, -4123391.0309365937, 4147793.1642031474
3G, -2524097.79718536, -4123387.411370817, 4147791.3241686053
3H, -2524092.521714453, -4123384.087189172, 4147798.9789877846
3J, -2524032.5732056554, -4123390.6575967, 4147827.410764223
3L, -2524050.3556094174, -4123364.469621508, 4147842.360443976
4E, -2523980.5455230055, -4123434.109211535, 4147816.026255149
4F, -2524013.0584874325, -4123399.4745070376, 4147830.449216935
4G, -2524030.0506302705, -4123374.075649587, 4147845.257550332
4H, -2524040.164560453, -4123365.4411276854, 4147847.602781283
4J, -2523997.794001558, -4123376.0824647383, 4147862.91750107
4K, -2523995.7538458435, -4123397.1076518954, 4147843.1510686665
4L, -2523986.5252806456, -4123402.796220709, 4147842.873391715
5B, -2523924.2759636184, -4123447.7050980935, 4147836.6033990188
5C, -2523924.680772861, -4123460.6187802237, 4147823.6619650074
5E, -2523918.5101237693, -4123470.8814493893, 4147817.5210026717
5G, -2523943.1721730195, -4123459.7699140194, 4147813.328494474
5H, -2523936.3166657463, -4123453.9382005488, 4147823.199046047
0A, -2523986.517025974, -4123402.8084017253, 4147842.8605397404
